TLD,n,n_legit,n_phishing,share_phishing,legit_false_alarm_rate,phishing_miss_rate
69,3,0,3,1.0,,
studio,3,1,2,0.6666666666666666,,
jm,3,2,1,0.3333333333333333,,
design,3,2,1,0.3333333333333333,,
bank,3,3,0,0.0,,
jo,3,1,2,0.6666666666666666,,
technology,3,2,1,0.3333333333333333,,
stream,3,0,3,1.0,,
im,3,3,0,0.0,,
ac,3,2,1,0.3333333333333333,,
af,3,3,0,0.0,,
95,3,0,3,1.0,,
sy,3,2,1,0.3333333333333333,,
help,3,1,2,0.6666666666666666,,
hn,3,3,0,0.0,,
fj,3,3,0,0.0,,
tm,3,2,1,0.3333333333333333,,
fund,3,0,3,1.0,,
finance,3,0,3,1.0,,
land,3,1,2,0.6666666666666666,,
kh,3,3,0,0.0,,
bm,3,3,0,0.0,,
blog,3,3,0,0.0,,
place,3,0,3,1.0,,
bf,3,3,0,0.0,,
church,3,2,1,0.3333333333333333,,
lr,3,0,3,1.0,,
bond,3,0,3,1.0,,
mm,3,3,0,0.0,,
run,3,1,2,0.6666666666666666,,
160,2,0,2,1.0,,
103,2,0,2,1.0,,
gl,2,0,2,1.0,,
wtf,2,0,2,1.0,,
yachts,2,0,2,1.0,,
yt,2,0,2,1.0,,
gifts,2,0,2,1.0,,
iq,2,1,1,0.5,,
immo,2,1,1,0.5,,
fr:443,2,0,2,1.0,,
google,2,2,0,0.0,,
game,2,2,0,0.0,,
taxi,2,0,2,1.0,,
guide,2,1,1,0.5,,
skin,2,0,2,1.0,,
so,2,0,2,1.0,,
express,2,1,1,0.5,,
events,2,2,0,0.0,,
education,2,1,1,0.5,,
ax,2,2,0,0.0,,
download,2,0,2,1.0,,
direct,2,1,1,0.5,,
delivery,2,2,0,0.0,,
je,2,2,0,0.0,,
jobs,2,2,0,0.0,,
london,2,2,0,0.0,,
dz,2,1,1,0.5,,
best,2,0,2,1.0,,
science,2,0,2,1.0,,
sm,2,2,0,0.0,,
rest,2,0,2,1.0,,
coach,2,0,2,1.0,,
codes,2,2,0,0.0,,
com:2096,2,0,2,1.0,,
ltd,2,0,2,1.0,,
ms,2,0,2,1.0,,
boutique,2,0,2,1.0,,
city,2,1,1,0.5,,
cern,2,2,0,0.0,,
rocks,2,1,1,0.5,,
bh,2,2,0,0.0,,
om,2,2,0,0.0,,
nyc,2,2,0,0.0,,
ngo,2,2,0,0.0,,
museum,2,2,0,0.0,,
va,2,2,0,0.0,,
203,2,0,2,1.0,,
148,2,0,2,1.0,,
works,2,1,1,0.5,,
146,2,0,2,1.0,,
108,2,0,2,1.0,,
120,1,0,1,1.0,,
126,1,0,1,1.0,,
130,1,0,1,1.0,,
134,1,0,1,1.0,,
136,1,0,1,1.0,,
14,1,0,1,1.0,,
140,1,0,1,1.0,,
149,1,0,1,1.0,,
15,1,0,1,1.0,,
wine,1,0,1,1.0,,
